Y	M	D	Q_cfs
2010	9	20	118
2010	9	21	100
2010	9	22	95.8
2010	9	23	110
2010	9	24	132
2010	9	25	141
2010	9	26	159
2010	9	27	171
2010	9	28	147
2010	9	29	138
2010	9	30	141
2010	10	1	139
2010	10	2	151
2010	10	3	150
2010	10	4	135
2010	10	5	138
2010	10	6	151
2010	10	7	155
2010	10	8	159
2010	10	9	165
2010	10	10	178
2010	10	11	220
2010	10	12	255
2010	10	13	273
2010	10	14	288
2010	10	15	320
2010	10	16	298
2010	10	17	274
2010	10	18	258
2010	10	19	235
2010	10	20	223
2010	10	21	228
2010	10	22	256
2010	10	23	267
2010	10	24	286
2010	10	25	467
2010	10	26	580
2010	10	27	854
2010	10	28	605
2010	10	29	500
2010	10	30	427
2010	10	31	488
2010	11	1	525
2010	11	2	550
2010	11	3	517
2010	11	4	475
2010	11	5	460
2010	11	6	449
2010	11	7	442
2010	11	8	416
2010	11	9	444
2010	11	10	414
2010	11	11	427
2010	11	12	399
2010	11	13	387
2010	11	14	357
2010	11	15	372
2010	11	16	389
2010	11	17	404
2010	11	18	401
2010	11	19	378
2010	11	20	409
2010	11	21	412
2010	11	22	402
2010	11	23	402
2010	11	24	393
2010	11	25	318
2010	11	26	323
2010	11	27	392
2010	11	28	431
2010	11	29	409
2010	11	30	392
2010	12	1	393
2010	12	2	390
2010	12	3	388
2010	12	4	385
2010	12	5	381
2010	12	6	371
2010	12	7	378
2010	12	8	352
2010	12	9	370
2010	12	10	368
2010	12	11	366
2010	12	12	354
2010	12	13	359
2010	12	14	359
2010	12	15	359
2010	12	16	296
2010	12	17	251
2010	12	18	287
2010	12	19	295
2010	12	20	331
2010	12	21	327
2010	12	22	324
2010	12	23	343
2010	12	24	337
2010	12	25	309
2010	12	26	325
2010	12	27	349
2010	12	28	307
2010	12	29	311
2010	12	30	353
2010	12	31	300
2011	1	1	248
2011	1	2	245
2011	1	3	356
2011	1	4	338
2011	1	5	356
2011	1	6	368
2011	1	7	366
2011	1	8	377
2011	1	9	377
2011	1	10	344
2011	1	11	337
2011	1	12	345
2011	1	13	402
2011	1	14	397
2011	1	15	393
2011	1	16	392
2011	1	17	397
2011	1	18	368
2011	1	19	365
2011	1	20	352
2011	1	21	365
2011	1	22	359
2011	1	23	345
2011	1	24	357
2011	1	25	323
2011	1	26	361
2011	1	27	339
2011	1	28	343
2011	1	29	343
2011	1	30	335
2011	1	31	339
2011	2	1	324
2011	2	2	267
2011	2	3	262
2011	2	4	287
2011	2	5	318
2011	2	6	330
2011	2	7	328
2011	2	8	337
2011	2	9	322
2011	2	10	326
2011	2	11	348
2011	2	12	359
2011	2	13	379
2011	2	14	383
2011	2	15	374
2011	2	16	374
2011	2	17	366
2011	2	18	335
2011	2	19	357
2011	2	20	363
2011	2	21	353
2011	2	22	342
2011	2	23	346
2011	2	24	353
2011	2	25	350
2011	2	26	346
2011	2	27	337
2011	2	28	344
2011	3	1	342
2011	3	2	358
2011	3	3	401
2011	3	4	398
2011	3	5	382
2011	3	6	459
2011	3	7	459
2011	3	8	466
2011	3	9	443
2011	3	10	463
2011	3	11	533
2011	3	12	614
2011	3	13	803
2011	3	14	766
2011	3	15	853
2011	3	16	905
2011	3	17	952
2011	3	18	935
2011	3	19	922
2011	3	20	951
2011	3	21	981
2011	3	22	1040
2011	3	23	1240
2011	3	24	1060
2011	3	25	1010
2011	3	26	1030
2011	3	27	960
2011	3	28	994
2011	3	29	1010
2011	3	30	937
2011	3	31	937
2011	4	1	1050
2011	4	2	1770
2011	4	3	2720
2011	4	4	3270
2011	4	5	2380
2011	4	6	2240
2011	4	7	2710
2011	4	8	2450
2011	4	9	3480
2011	4	10	3830
2011	4	11	3030
2011	4	12	2530
2011	4	13	2850
2011	4	14	3180
2011	4	15	3920
2011	4	16	3180
2011	4	17	3040
2011	4	18	3150
2011	4	19	5350
2011	4	20	6660
2011	4	21	5130
2011	4	22	7690
2011	4	23	7510
2011	4	24	5250
2011	4	25	4950
2011	4	26	5110
2011	4	27	4890
2011	4	28	4020
2011	4	29	3830
2011	4	30	4340
2011	5	1	3850
2011	5	2	3620
2011	5	3	3340
2011	5	4	3390
2011	5	5	3940
2011	5	6	4050
2011	5	7	5100
2011	5	8	6810
2011	5	9	8620
2011	5	10	9720
2011	5	11	9090
2011	5	12	8620
2011	5	13	7600
2011	5	14	7440
2011	5	15	9130
2011	5	16	10600
2011	5	17	12000
2011	5	18	11900
2011	5	19	10800
2011	5	20	9900
2011	5	21	8750
2011	5	22	10300
2011	5	23	10400
2011	5	24	11900
2011	5	25	12700
2011	5	26	12100
2011	5	27	12000
2011	5	28	11700
2011	5	29	10900
2011	5	30	11800
2011	5	31	14000
2011	6	1	13400
2011	6	2	13400
2011	6	3	14700
2011	6	4	16600
2011	6	5	16800
2011	6	6	17000
2011	6	7	18400
2011	6	8	19600
2011	6	9	19600
2011	6	10	18400
2011	6	11	17100
2011	6	12	15700
2011	6	13	15000
2011	6	14	14700
2011	6	15	14400
2011	6	16	14200
2011	6	17	14300
2011	6	18	14800
2011	6	19	14300
2011	6	20	12900
2011	6	21	11700
2011	6	22	10800
2011	6	23	10900
2011	6	24	11400
2011	6	25	11800
2011	6	26	12300
2011	6	27	12200
2011	6	28	11500
2011	6	29	10700
2011	6	30	10800
2011	7	1	11600
2011	7	2	11900
2011	7	3	10500
2011	7	4	9870
2011	7	5	9530
2011	7	6	8780
2011	7	7	7880
2011	7	8	8220
2011	7	9	9660
2011	7	10	11000
2011	7	11	8570
2011	7	12	7600
2011	7	13	7090
2011	7	14	7110
2011	7	15	6500
2011	7	16	5560
2011	7	17	4850
2011	7	18	4800
2011	7	19	5190
2011	7	20	5210
2011	7	21	4740
2011	7	22	4010
2011	7	23	3420
2011	7	24	3010
2011	7	25	2690
2011	7	26	2480
2011	7	27	2420
2011	7	28	2340
2011	7	29	2070
2011	7	30	1860
2011	7	31	1710
2011	8	1	1620
2011	8	2	1700
2011	8	3	1720
2011	8	4	1550
2011	8	5	1500
2011	8	6	1370
2011	8	7	1260
2011	8	8	1140
2011	8	9	1060
2011	8	10	1010
2011	8	11	915
2011	8	12	853
2011	8	13	814
2011	8	14	784
2011	8	15	780
2011	8	16	787
2011	8	17	768
2011	8	18	783
2011	8	19	722
2011	8	20	813
2011	8	21	901
2011	8	22	872
2011	8	23	758
2011	8	24	560
2011	8	25	515
2011	8	26	527
2011	8	27	513
2011	8	28	510
2011	8	29	536
2011	8	30	552
2011	8	31	571
2011	9	1	542
2011	9	2	496
2011	9	3	456
2011	9	4	428
2011	9	5	426
2011	9	6	430
2011	9	7	436
2011	9	8	493
2011	9	9	576
2011	9	10	590
2011	9	11	541
2011	9	12	447
2011	9	13	413
2011	9	14	395
2011	9	15	374
2011	9	16	409
2011	9	17	678
2011	9	18	724
2011	9	19	732
2011	9	20	735
2011	9	21	612
2011	9	22	537
2011	9	23	497
2011	9	24	455
2011	9	25	429
2011	9	26	422
2011	9	27	389
2011	9	28	344
2011	9	29	334
2011	9	30	326
